session_id,date,model,trim,device,utm_source,utm_medium,utm_campaign,duration_sec,steps_completed,completed,lead_submitted,market
CFG000001,2025-01-01,DEEPAL S07,Pure,mobile,google,social,organic,118,6,False,False,GB
CFG000002,2025-01-02,DEEPAL S07,Intelligence,mobile,direct,referral,META_GB_S07_AWR_EV_INTENDERS_20250101,633,6,True,False,GB
CFG000003,2025-01-03,DEEPAL S07,Pure,tablet,google,organic,TT_GB_S07_AWR_TESTIMONIAL_20250101,48,4,False,False,DE
CFG000004,2025-01-04,DEEPAL S07,Pure,mobile,meta,cpc,META_GB_S07_AWR_CONQUEST_TESLA_20250103,460,5,False,False,GB
CFG000005,2025-01-05,DEEPAL S07,Pure,mobile,linkedin,display,TT_GB_S07_AWR_HERO_LAUNCH_20250101,82,3,False,False,GB
CFG000006,2025-01-05,DEEPAL S07,Design,tablet,direct,social,organic,104,3,False,False,GB
CFG000007,2025-01-06,DEEPAL S07,Pure,desktop,tiktok,email,organic,154,6,False,False,GB
CFG000008,2025-01-07,DEEPAL S07,Intelligence,mobile,direct,display,META_GB_S07_AWR_EV_INTENDERS_20250104,54,4,False,False,GB
CFG000009,2025-01-08,DEEPAL S07,Intelligence,mobile,meta,organic,organic,72,5,False,False,GB
CFG000010,2025-01-09,DEEPAL S07,Design,desktop,meta,email,TT_GB_S07_AWR_TESTIMONIAL_20250101,359,5,True,False,GB
CFG000011,2025-01-10,DEEPAL S07,Design,mobile,meta,display,META_GB_S07_AWR_CONQUEST_BMW_20250106,162,7,True,False,GB
CFG000012,2025-01-11,DEEPAL S07,Intelligence,desktop,linkedin,email,TT_GB_S07_AWR_TESTIMONIAL_20250102,81,6,True,False,GB
CFG000013,2025-01-12,DEEPAL S07,Pure,mobile,google,display,organic,280,2,False,False,GB
CFG000014,2025-01-13,DEEPAL S07,Intelligence,mobile,organic,referral,META_GB_S07_AWR_LUXURY_LIFESTYLE_20250113,340,2,False,False,GB
CFG000015,2025-01-14,DEEPAL S07,Design,mobile,meta,social,TT_GB_S07_AWR_PRODUCT_FEATURES_20250107,193,3,False,False,GB
CFG000016,2025-01-15,DEEPAL S07,Intelligence,desktop,direct,email,META_GB_S07_AWR_FLEET_MANAGERS_20250105,424,2,False,False,GB
CFG000017,2025-01-16,DEEPAL S07,Design,mobile,linkedin,email,organic,174,6,True,False,GB
CFG000018,2025-01-17,DEEPAL S07,Intelligence,mobile,tiktok,cpc,META_GB_S07_AWR_ENGAGED_VIEWERS_20250114,171,5,True,True,DE
CFG000019,2025-01-18,DEEPAL S07,Pure,mobile,linkedin,social,organic,267,4,False,False,GB
CFG000020,2025-01-19,DEEPAL S07,Pure,desktop,meta,social,organic,141,2,False,False,DE
CFG000021,2025-01-20,DEEPAL S07,Design,tablet,organic,referral,TT_GB_S07_AWR_HERO_LAUNCH_20250101,91,3,False,False,GB
CFG000022,2025-01-21,DEEPAL S07,Design,desktop,tiktok,email,organic,292,4,False,False,GB
CFG000023,2025-01-22,DEEPAL S07,Intelligence,desktop,organic,cpc,META_GB_S07_AWR_FLEET_MANAGERS_20250104,250,5,False,False,GB
CFG000024,2025-01-23,DEEPAL S07,Intelligence,desktop,google,email,META_GB_S07_AWR_YOUNG_PROFESSIONALS_20250116,506,5,True,False,GB
CFG000025,2025-01-24,DEEPAL S07,Design,mobile,linkedin,email,TT_GB_S07_AWR_PRICE_REVEAL_20250118,76,5,True,False,DE
CFG000026,2025-01-25,DEEPAL S07,Intelligence,mobile,meta,email,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250105,408,6,False,False,FR
CFG000027,2025-01-26,DEEPAL S07,Pure,mobile,organic,referral,organic,284,7,True,True,GB
CFG000028,2025-01-27,DEEPAL S07,Design,mobile,direct,email,META_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250121,32,5,True,False,GB
CFG000029,2025-01-28,DEEPAL S07,Design,mobile,tiktok,cpc,organic,249,1,False,False,GB
CFG000030,2025-01-29,DEEPAL S07,Intelligence,mobile,google,email,organic,230,5,False,False,GB
CFG000031,2025-01-30,DEEPAL S07,Design,tablet,tiktok,email,organic,165,6,True,False,GB
CFG000032,2025-01-31,DEEPAL S07,Design,mobile,meta,referral,META_GB_S07_AWR_CONQUEST_BMW_20250116,153,6,False,False,GB
CFG000033,2025-02-01,DEEPAL S07,Design,mobile,google,cpc,organic,104,4,False,False,GB
CFG000034,2025-02-02,DEEPAL S07,Pure,mobile,direct,email,organic,33,1,False,False,GB
CFG000035,2025-02-03,DEEPAL S07,Pure,desktop,direct,email,organic,275,5,True,False,FR
