date,insertion_order,line_item_name,line_item_id,market,model,creative_size,exchange,impressions,clicks,ctr,cpm,spend,viewable_impressions,viewability_rate,video_completions,video_completion_rate
2025-01-01,IO7182,DV360_GB_S07_PROSP_CONQUEST_BMW_20250101,DV86542,GB,DEEPAL S07,320x50,Index Exchange,46650,277,0.005938,7.08,330.41,33345,0.7148,7199,0.1543
2025-01-01,IO8797,DV360_GB_S07_PROSP_LOOKALIKE_CONVERTERS_20250101,DV24234,GB,DEEPAL S07,970x250,Xandr,103957,353,0.003396,4.69,487.45,90722,0.8727,29238,0.2813
2025-01-01,IO1345,DV360_GB_S07_PROSP_YOUNG_PROFESSIONALS_20250101,DV39899,GB,DEEPAL S07,970x250,Google AdX,46622,400,0.00858,2.48,115.77,33327,0.7148,5556,0.1192
2025-01-01,IO4784,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250101,DV41592,GB,DEEPAL S07,320x50,OpenX,15864,69,0.004349,3.42,54.2,12751,0.8038,0,0.0
2025-01-01,IO7836,DV360_GB_S07_PROSP_SITE_VISITORS_20250101,DV18640,GB,DEEPAL S07,320x50,Google AdX,21039,153,0.007272,5.58,117.3,14944,0.7103,0,0.0
2025-01-01,IO3096,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250101,DV47676,GB,DEEPAL S07,160x600,Google AdX,97357,981,0.010076,4.29,417.38,86653,0.8901,27766,0.2852
2025-01-01,IO2047,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250101,DV55086,GB,DEEPAL S07,970x250,OpenX,1336,6,0.004491,5.67,7.58,1221,0.9143,143,0.107
2025-01-02,IO3420,DV360_GB_S07_PROSP_YOUNG_PROFESSIONALS_20250102,DV71518,GB,DEEPAL S07,320x50,OpenX,24180,131,0.005418,7.78,188.04,18629,0.7704,0,0.0
2025-01-02,IO5318,DV360_GB_S07_PROSP_CONQUEST_BMW_20250102,DV66304,GB,DEEPAL S07,160x600,Index Exchange,63706,243,0.003814,3.77,240.04,49538,0.7776,6664,0.1046
2025-01-02,IO5975,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250102,DV90815,GB,DEEPAL S07,320x50,PubMatic,7822,86,0.010995,6.99,54.67,6580,0.8412,1023,0.1308
2025-01-02,IO7967,DV360_GB_S07_PROSP_TECH_ENTHUSIASTS_20250102,DV39884,GB,DEEPAL S07,970x250,Index Exchange,8057,65,0.008068,6.49,52.3,6424,0.7973,1978,0.2455
2025-01-02,IO5773,DV360_GB_S07_PROSP_SITE_VISITORS_20250102,DV92463,GB,DEEPAL S07,728x90,OpenX,62013,501,0.008079,4.52,280.22,53124,0.8567,6735,0.1086
2025-01-02,IO4633,DV360_GB_S07_PROSP_EV_INTENDERS_20250102,DV79799,GB,DEEPAL S07,970x250,OpenX,89996,785,0.008723,2.7,243.1,64232,0.7137,0,0.0
2025-01-02,IO4379,DV360_GB_S07_PROSP_EV_INTENDERS_20250102,DV94001,GB,DEEPAL S07,970x250,Xandr,90477,587,0.006488,4.59,415.11,73133,0.8083,9672,0.1069
2025-01-03,IO6571,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250103,DV65037,GB,DEEPAL S07,970x250,Index Exchange,20060,182,0.009073,5.03,100.94,17326,0.8638,3302,0.1646
2025-01-03,IO6809,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250103,DV88191,GB,DEEPAL S07,728x90,OpenX,2203,22,0.009986,5.32,11.73,1618,0.7348,379,0.172
2025-01-03,IO9007,DV360_GB_S07_PROSP_ENGAGED_VIEWERS_20250103,DV35665,GB,DEEPAL S07,320x50,OpenX,25618,254,0.009915,6.57,168.35,21351,0.8335,5309,0.2072
2025-01-03,IO9096,DV360_GB_S07_PROSP_CONQUEST_TESLA_20250103,DV96160,GB,DEEPAL S07,320x50,PubMatic,53262,320,0.006008,5.22,277.79,41511,0.7794,7596,0.1426
2025-01-03,IO2136,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250103,DV76811,GB,DEEPAL S07,728x90,Google AdX,10162,44,0.00433,3.24,32.96,7789,0.7665,1181,0.1162
2025-01-03,IO1368,DV360_GB_S07_PROSP_EV_INTENDERS_20250103,DV55211,GB,DEEPAL S07,320x50,OpenX,104603,609,0.005822,3.28,343.5,93743,0.8962,0,0.0
