date,campaign_name,campaign_id,campaign_type,market,model,keyword_group,impressions,clicks,ctr,avg_cpc,spend,conversions,conversion_rate,cost_per_conversion,quality_score,impression_share,search_impression_share
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO30452,Search,GB,DEEPAL S07,ev_suv,363,43,0.118457,1.97,84.75,1,0.0353,84.75,7,0.75,0.43
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO88685,Search,GB,DEEPAL S07,price,1102,111,0.100726,0.88,97.3,6,0.0577,16.22,7,0.6,0.34
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO28653,Search,GB,DEEPAL S07,review,3220,421,0.130745,0.75,315.03,22,0.0531,14.32,6,0.74,0.5
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO85344,Search,GB,DEEPAL S07,ev_suv,349,23,0.065903,1.91,43.9,1,0.0525,43.9,6,0.46,0.43
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO34026,Search,GB,DEEPAL S07,brand_broad,698,90,0.12894,2.69,241.71,2,0.0244,120.86,7,0.43,0.58
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO72558,Search,GB,DEEPAL S07,test_drive,2851,210,0.073658,0.5,105.89,4,0.0215,26.47,7,0.84,0.56
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO69787,Search,GB,DEEPAL S07,competitor,830,116,0.139759,3.39,393.59,5,0.0515,78.72,7,0.73,0.37
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO42239,Search,GB,DEEPAL S07,dealer,639,66,0.103286,2.61,172.21,2,0.0386,86.11,7,0.65,0.36
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO97133,Search,GB,DEEPAL S07,brand_broad,476,67,0.140756,2.63,176.49,3,0.0553,58.83,7,0.56,0.66
2025-01-01,GOOG_GB_S07_SRC_BRAND_20250101,GO79305,Search,GB,DEEPAL S07,test_drive,34,4,0.117647,3.74,14.94,0,0.0337,0.0,7,0.44,0.39
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO52231,Search,GB,DEEPAL S07,ev_suv,2088,176,0.084291,1.64,288.66,9,0.0552,32.07,7,0.61,0.69
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO96157,Search,GB,DEEPAL S07,dealer,4588,355,0.077376,0.54,191.31,16,0.0458,11.96,8,0.64,0.58
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO81710,Search,GB,DEEPAL S07,dealer,593,63,0.106239,0.91,57.47,1,0.0265,57.47,6,0.59,0.52
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO48836,Search,GB,DEEPAL S07,brand_broad,2251,314,0.139494,1.44,453.29,11,0.0352,41.21,5,0.69,0.64
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO71585,Search,GB,DEEPAL S07,electric_car,742,90,0.121294,2.33,209.72,4,0.0499,52.43,8,0.82,0.39
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO60483,Search,GB,DEEPAL S07,electric_car,1653,117,0.07078,3.42,400.55,3,0.0336,133.52,6,0.82,0.68
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO89924,Search,GB,DEEPAL S07,electric_car,268,34,0.126866,1.3,44.11,1,0.049,44.11,8,0.54,0.5
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO47365,Search,GB,DEEPAL S07,brand_broad,4516,233,0.051594,1.63,379.21,9,0.0397,42.13,6,0.49,0.63
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO21471,Search,GB,DEEPAL S07,review,68,7,0.102941,1.74,12.19,0,0.0584,0.0,9,0.48,0.43
2025-01-02,GOOG_GB_S07_SRC_BRAND_20250102,GO18202,Search,GB,DEEPAL S07,test_drive,1231,92,0.074736,0.56,51.94,1,0.0202,51.94,9,0.42,0.53
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO36475,Search,GB,DEEPAL S07,ev_suv,619,77,0.124394,3.07,236.53,3,0.0501,78.84,7,0.51,0.44
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO70034,Search,GB,DEEPAL S07,electric_car,86,13,0.151163,1.48,19.25,0,0.0413,0.0,5,0.5,0.3
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO16774,Search,GB,DEEPAL S07,brand_exact,1212,136,0.112211,2.43,330.4,5,0.0412,66.08,7,0.8,0.57
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO84951,Search,GB,DEEPAL S07,price,380,57,0.15,3.3,188.2,2,0.0384,94.1,6,0.49,0.39
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO85941,Search,GB,DEEPAL S07,review,2764,172,0.062229,1.96,337.82,4,0.024,84.46,6,0.53,0.69
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO65723,Search,GB,DEEPAL S07,review,1007,54,0.053625,2.98,161.02,1,0.0337,161.02,9,0.69,0.65
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO60857,Search,GB,DEEPAL S07,price,1047,107,0.102197,3.24,346.17,3,0.0363,115.39,6,0.41,0.38
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO69365,Search,GB,DEEPAL S07,brand_exact,61,9,0.147541,2.9,26.07,0,0.049,0.0,5,0.76,0.52
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO10404,Search,GB,DEEPAL S07,brand_broad,1973,128,0.064876,1.26,161.43,3,0.0296,53.81,5,0.57,0.51
2025-01-03,GOOG_GB_S07_SRC_BRAND_20250103,GO60463,Search,GB,DEEPAL S07,price,73,7,0.09589,3.74,26.15,0,0.0259,0.0,7,0.59,0.54
