lead_id,created_date,source,model,dealer_id,stage,stage_updated_date,market,finance_type,is_qualified
LD000001,2025-01-17,configurator,DEEPAL S07,DLR002,LOST,2025-02-12,DE,,False
LD000002,2025-01-26,configurator,DEEPAL S07,DLR002,LOST,2025-01-29,GB,,False
LD000003,2025-02-13,configurator,DEEPAL S07,DLR002,LOST,2025-03-04,GB,,False
LD000004,2025-03-14,configurator,DEEPAL S07,DLR004,CONTACTED,2025-03-26,GB,,False
LD000005,2025-03-29,configurator,DEEPAL S07,DLR004,LOST,2025-04-10,GB,,False
LD000006,2025-04-04,configurator,DEEPAL S07,DLR005,CONTACTED,2025-04-09,GB,,False
LD000007,2025-04-17,configurator,DEEPAL S07,DLR003,NEGOTIATION,2025-05-19,GB,PCP,True
LD000008,2025-04-21,configurator,DEEPAL S07,DLR004,QUALIFIED,2025-05-14,FR,,True
LD000009,2025-04-30,configurator,DEEPAL S07,DLR003,TD_COMPLETED,2025-06-05,DE,,True
LD000010,2025-05-13,configurator,DEEPAL S07,DLR004,LOST,2025-05-24,GB,,False
LD000011,2025-05-15,configurator,DEEPAL S07,DLR001,TD_COMPLETED,2025-06-24,GB,,True
LD000012,2025-06-09,configurator,DEEPAL S07,DLR004,LOST,2025-06-20,GB,,False
LD000013,2025-06-27,configurator,DEEPAL S07,DLR001,NEW,2025-06-27,GB,,False
LD000014,2025-06-28,configurator,DEEPAL S07,DLR002,LOST,2025-07-05,GB,,False
LD000015,2025-07-15,configurator,DEEPAL S07,DLR003,NEW,2025-07-15,DE,,False
LD000016,2025-07-18,configurator,DEEPAL S07,DLR002,NEW,2025-07-18,GB,,False
LD000017,2025-07-21,configurator,DEEPAL S07,DLR005,NEW,2025-07-21,DE,,False
LD000018,2025-07-25,configurator,DEEPAL S07,DLR004,CONTACTED,2025-08-07,GB,,False
LD000019,2025-08-02,configurator,DEEPAL S07,DLR004,NEW,2025-08-02,GB,,False
LD000020,2025-08-04,configurator,DEEPAL S07,DLR001,LOST,2025-08-28,GB,,False
LD000021,2025-08-06,configurator,DEEPAL S07,DLR005,LOST,2025-08-16,GB,,False
LD000022,2025-08-08,configurator,DEEPAL S07,DLR001,CONTACTED,2025-08-11,GB,,False
LD000023,2025-08-08,configurator,DEEPAL S07,DLR003,NEW,2025-08-08,GB,,False
LD000024,2025-08-11,configurator,DEEPAL S07,DLR001,LOST,2025-08-19,GB,,False
LD000025,2025-08-19,configurator,DEEPAL S07,DLR004,LOST,2025-09-08,GB,,False
LD000026,2025-08-19,configurator,DEEPAL S07,DLR003,WON,2025-09-19,GB,cash,True
LD000027,2025-08-21,configurator,DEEPAL S07,DLR001,LOST,2025-08-24,GB,,False
LD000028,2025-09-01,configurator,AVATR 12,DLR012,LOST,2025-09-14,GB,,False
LD000029,2025-09-01,configurator,DEEPAL S07,DLR012,CONTACTED,2025-09-03,GB,,False
LD000030,2025-09-01,configurator,AVATR 12,DLR002,LOST,2025-09-04,GB,,False
LD000031,2025-09-01,configurator,DEEPAL S07,DLR050,QUALIFIED,2025-09-18,DE,,True
LD000032,2025-09-01,configurator,DEEPAL S07,DLR019,TD_COMPLETED,2025-10-07,GB,,True
LD000033,2025-09-02,configurator,AVATR 12,DLR041,CONTACTED,2025-09-06,GB,,False
LD000034,2025-09-02,configurator,DEEPAL S07,DLR019,QUALIFIED,2025-09-21,GB,,True
LD000035,2025-09-02,configurator,DEEPAL S07,DLR002,NEW,2025-09-02,GB,,False
LD000036,2025-09-02,configurator,AVATR 12,DLR012,CONTACTED,2025-09-07,GB,,False
LD000037,2025-09-02,configurator,AVATR 12,DLR019,NEW,2025-09-02,GB,,False
LD000038,2025-09-03,configurator,AVATR 12,DLR019,NEW,2025-09-03,GB,,False
LD000039,2025-09-03,configurator,DEEPAL S07,DLR002,NEW,2025-09-03,DE,,False
LD000040,2025-09-03,configurator,DEEPAL S07,DLR041,TD_BOOKED,2025-09-17,GB,,True
LD000041,2025-09-03,configurator,AVATR 12,DLR041,LOST,2025-09-20,FR,,False
LD000042,2025-09-03,configurator,DEEPAL S07,DLR019,QUALIFIED,2025-09-17,GB,,True
LD000043,2025-09-04,configurator,AVATR 12,DLR050,NEW,2025-09-04,FR,,False
LD000044,2025-09-04,configurator,DEEPAL S07,DLR049,LOST,2025-09-17,GB,,False
LD000045,2025-09-04,configurator,DEEPAL S07,DLR049,LOST,2025-09-20,GB,,False
LD000046,2025-09-04,configurator,DEEPAL S07,DLR019,QUALIFIED,2025-09-24,DE,,True
LD000047,2025-09-04,configurator,DEEPAL S07,DLR049,CONTACTED,2025-09-13,GB,,False
LD000048,2025-09-05,configurator,DEEPAL S07,DLR041,CONTACTED,2025-09-09,DE,,False
LD000049,2025-09-05,configurator,DEEPAL S07,DLR019,LOST,2025-09-09,GB,,False
LD000050,2025-09-05,configurator,DEEPAL S07,DLR016,LOST,2025-09-16,GB,,False
LD000051,2025-09-05,configurator,AVATR 12,DLR002,LOST,2025-09-18,GB,,False
LD000052,2025-09-05,configurator,DEEPAL S07,DLR019,LOST,2025-09-19,DE,,False
LD000053,2025-09-06,configurator,DEEPAL S07,DLR037,CONTACTED,2025-09-08,GB,,False
LD000054,2025-09-06,configurator,DEEPAL S07,DLR001,TD_BOOKED,2025-09-23,GB,,True
LD000055,2025-09-06,configurator,DEEPAL S07,DLR025,LOST,2025-09-19,GB,,False
LD000056,2025-09-06,configurator,DEEPAL S07,DLR027,CONTACTED,2025-09-18,DE,,False
LD000057,2025-09-06,configurator,DEEPAL S07,DLR050,LOST,2025-10-01,DE,,False
LD000058,2025-09-07,configurator,DEEPAL S07,DLR019,TD_BOOKED,2025-10-09,GB,,True
LD000059,2025-09-07,configurator,DEEPAL S07,DLR025,LOST,2025-10-22,GB,,False
LD000060,2025-09-07,configurator,DEEPAL S07,DLR041,LOST,2025-09-09,GB,,False
LD000061,2025-09-08,configurator,DEEPAL S07,DLR021,QUALIFIED,2025-09-16,GB,,True
LD000062,2025-09-08,configurator,DEEPAL S07,DLR025,LOST,2025-09-12,GB,,False
LD000063,2025-09-09,configurator,AVATR 12,DLR001,CONTACTED,2025-09-14,DE,,False
LD000064,2025-09-09,configurator,AVATR 12,DLR021,LOST,2025-09-22,DE,,False
LD000065,2025-09-09,configurator,AVATR 12,DLR027,TD_BOOKED,2025-09-28,DE,,True
LD000066,2025-09-09,configurator,AVATR 12,DLR019,NEW,2025-09-09,GB,,False
LD000067,2025-09-09,configurator,DEEPAL S07,DLR025,LOST,2025-09-24,GB,,False
LD000068,2025-09-10,configurator,AVATR 12,DLR025,TD_BOOKED,2025-09-22,GB,,True
LD000069,2025-09-10,configurator,DEEPAL S07,DLR041,LOST,2025-09-22,GB,,False
LD000070,2025-09-10,configurator,DEEPAL S07,DLR021,LOST,2025-09-11,GB,,False
