date,campaign_name,campaign_id,objective,market,model,impressions,clicks,ctr,cpm,cpc,spend,leads,cost_per_lead,social_actions,follower_gains,company_page_clicks
2025-01-01,LI_GB_S07_AWR_CONQUEST_BMW_20250101,LI12376,awareness,GB,DEEPAL S07,13858,116,0.008371,36.99,4.42,512.57,0,0.0,32,1,12
2025-01-01,LI_GB_S07_AWR_ECO_CONSCIOUS_20250101,LI19083,awareness,GB,DEEPAL S07,2761,22,0.007968,40.48,5.08,111.77,0,0.0,13,0,1
2025-01-01,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250101,LI51254,awareness,GB,DEEPAL S07,2446,18,0.007359,22.17,3.01,54.24,0,0.0,3,0,1
2025-01-02,LI_GB_S07_AWR_EV_INTENDERS_20250102,LI56180,awareness,GB,DEEPAL S07,8242,74,0.008978,42.27,4.71,348.43,0,0.0,27,0,3
2025-01-02,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250102,LI22667,awareness,GB,DEEPAL S07,3484,13,0.003731,42.58,11.41,148.36,0,0.0,10,0,1
2025-01-02,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250102,LI72907,awareness,GB,DEEPAL S07,4955,39,0.007871,35.82,4.55,177.49,0,0.0,13,0,3
2025-01-03,LI_GB_S07_AWR_FLEET_MANAGERS_20250103,LI24045,awareness,GB,DEEPAL S07,26,1,0.038462,36.63,0.96,0.96,0,0.0,0,0,0
2025-01-03,LI_GB_S07_AWR_EV_INTENDERS_20250103,LI77327,awareness,GB,DEEPAL S07,17289,123,0.007114,26.75,3.76,462.49,0,0.0,56,1,6
2025-01-03,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250103,LI85382,awareness,GB,DEEPAL S07,2686,17,0.006329,43.37,6.85,116.51,0,0.0,9,0,1
2025-01-04,LI_GB_S07_AWR_PREMIUM_AUTO_20250104,LI73346,awareness,GB,DEEPAL S07,1007,7,0.006951,29.58,4.26,29.8,0,0.0,2,0,0
2025-01-04,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250104,LI15343,awareness,GB,DEEPAL S07,8776,32,0.003646,26.55,7.28,233.05,0,0.0,18,1,2
2025-01-04,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250104,LI99024,awareness,GB,DEEPAL S07,2505,8,0.003194,28.84,9.03,72.27,0,0.0,3,0,1
2025-01-05,LI_GB_S07_AWR_CONFIGURATOR_USERS_20250105,LI69892,awareness,GB,DEEPAL S07,2703,20,0.007399,42.65,5.77,115.31,0,0.0,8,0,2
2025-01-05,LI_GB_S07_AWR_PREMIUM_AUTO_20250105,LI10167,awareness,GB,DEEPAL S07,1778,15,0.008436,40.03,4.75,71.18,0,0.0,7,0,1
2025-01-05,LI_GB_S07_AWR_FAMILY_BUYERS_20250105,LI51861,awareness,GB,DEEPAL S07,4340,23,0.0053,31.96,6.03,138.73,0,0.0,18,0,3
2025-01-06,LI_GB_S07_AWR_CONQUEST_AUDI_20250106,LI57807,awareness,GB,DEEPAL S07,4632,27,0.005829,39.14,6.72,181.32,0,0.0,14,0,3
