date,campaign_name,campaign_id,platform,objective,market,model,impressions,clicks,ctr,cpm,cpc,spend,reach,frequency,video_views,video_view_rate,leads,link_clicks,landing_page_views,cost_per_lead
2025-01-01,META_GB_S07_AWR_YOUNG_PROFESSIONALS_20250101,ME24541,Instagram,awareness,GB,DEEPAL S07,54176,828,0.015284,4.6,0.3,249.23,45296,1.2,21505,0.3969,0,777,626,0.0
2025-01-01,META_GB_S07_AWR_CONQUEST_TESLA_20250101,ME65845,Facebook,awareness,GB,DEEPAL S07,1438,12,0.008345,14.75,1.77,21.22,848,1.7,467,0.3248,0,10,7,0.0
2025-01-01,META_GB_S07_AWR_FAMILY_BUYERS_20250101,ME50962,Instagram,awareness,GB,DEEPAL S07,122279,1236,0.010108,4.85,0.48,593.47,102406,1.19,47887,0.3916,0,1079,901,0.0
2025-01-01,META_GB_S07_AWR_LUXURY_LIFESTYLE_20250101,ME62882,Facebook,awareness,GB,DEEPAL S07,21086,300,0.014227,13.13,0.92,276.94,11602,1.82,4125,0.1956,0,259,173,0.0
2025-01-01,META_GB_S07_AWR_CONQUEST_TESLA_20250101,ME31390,Instagram,awareness,GB,DEEPAL S07,28860,388,0.013444,5.94,0.44,171.53,23206,1.24,6494,0.225,0,340,265,0.0
2025-01-01,META_GB_S07_AWR_CONQUEST_AUDI_20250101,ME58454,Instagram,awareness,GB,DEEPAL S07,45411,827,0.018211,8.49,0.47,385.38,38416,1.18,14241,0.3136,0,736,549,0.0
2025-01-01,META_GB_S07_AWR_EV_INTENDERS_20250101,ME20680,Instagram,awareness,GB,DEEPAL S07,10808,131,0.012121,11.37,0.94,122.92,9173,1.18,3442,0.3185,0,115,92,0.0
2025-01-01,META_GB_S07_AWR_EV_INTENDERS_20250101,ME23773,Facebook,awareness,GB,DEEPAL S07,9899,238,0.024043,6.02,0.25,59.61,5657,1.75,3486,0.3522,0,175,142,0.0
2025-01-01,META_GB_S07_AWR_CONQUEST_BMW_20250101,ME57603,Instagram,awareness,GB,DEEPAL S07,4884,39,0.007985,10.85,1.36,52.98,3587,1.36,1623,0.3323,0,31,22,0.0
2025-01-01,META_GB_S07_AWR_CONQUEST_TESLA_20250101,ME51514,Instagram,awareness,GB,DEEPAL S07,12665,280,0.022108,3.85,0.17,48.72,8648,1.46,4553,0.3595,0,211,170,0.0
2025-01-02,META_GB_S07_AWR_CONQUEST_AUDI_20250102,ME35713,Facebook,awareness,GB,DEEPAL S07,37782,727,0.019242,5.11,0.27,193.12,21095,1.79,14512,0.3841,0,660,424,0.0
2025-01-02,META_GB_S07_AWR_CONQUEST_TESLA_20250102,ME63299,Facebook,awareness,GB,DEEPAL S07,63808,1052,0.016487,4.28,0.26,273.39,51770,1.23,10366,0.1625,0,830,569,0.0
2025-01-02,META_GB_S07_AWR_SITE_VISITORS_20250102,ME17624,Instagram,awareness,GB,DEEPAL S07,17366,247,0.014223,13.68,0.96,237.56,13750,1.26,4510,0.2597,0,214,136,0.0
2025-01-02,META_GB_S07_AWR_ECO_CONSCIOUS_20250102,ME15747,Instagram,awareness,GB,DEEPAL S07,1651,35,0.021199,13.87,0.65,22.9,1268,1.3,396,0.2399,0,30,19,0.0
2025-01-02,META_GB_S07_AWR_PREMIUM_AUTO_20250102,ME21419,Facebook,awareness,GB,DEEPAL S07,143483,2032,0.014162,3.82,0.27,547.92,98920,1.45,41773,0.2911,0,1572,1274,0.0
2025-01-02,META_GB_S07_AWR_ECO_CONSCIOUS_20250102,ME76048,Instagram,awareness,GB,DEEPAL S07,16076,265,0.016484,11.66,0.71,187.41,12021,1.34,5776,0.3593,0,209,151,0.0
2025-01-02,META_GB_S07_AWR_TECH_ENTHUSIASTS_20250102,ME22848,Instagram,awareness,GB,DEEPAL S07,30892,320,0.010359,10.89,1.05,336.47,24812,1.25,11588,0.3751,0,282,172,0.0
2025-01-02,META_GB_S07_AWR_CONFIGURATOR_USERS_20250102,ME58754,Instagram,awareness,GB,DEEPAL S07,16337,391,0.023933,11.75,0.49,192.0,11542,1.42,6471,0.3961,0,368,303,0.0
2025-01-02,META_GB_S07_AWR_ENGAGED_VIEWERS_20250102,ME39834,Facebook,awareness,GB,DEEPAL S07,4244,65,0.015316,10.94,0.71,46.42,2562,1.66,683,0.1609,0,57,36,0.0
2025-01-02,META_GB_S07_AWR_FLEET_MANAGERS_20250102,ME71702,Instagram,awareness,GB,DEEPAL S07,791,14,0.017699,4.99,0.28,3.95,529,1.5,257,0.3249,0,10,7,0.0
2025-01-03,META_GB_S07_AWR_CONFIGURATOR_USERS_20250103,ME79732,Instagram,awareness,GB,DEEPAL S07,61725,1476,0.023913,9.35,0.39,577.02,38842,1.59,21905,0.3549,0,1235,749,0.0
2025-01-03,META_GB_S07_AWR_YOUNG_PROFESSIONALS_20250103,ME93339,Facebook,awareness,GB,DEEPAL S07,27090,294,0.010853,5.69,0.52,154.19,17261,1.57,6905,0.2549,0,218,154,0.0
2025-01-03,META_GB_S07_AWR_YOUNG_PROFESSIONALS_20250103,ME84846,Instagram,awareness,GB,DEEPAL S07,2808,36,0.012821,13.28,1.04,37.3,2217,1.27,875,0.3116,0,31,20,0.0
2025-01-03,META_GB_S07_AWR_CONQUEST_BMW_20250103,ME93977,Facebook,awareness,GB,DEEPAL S07,45870,1122,0.02446,7.5,0.31,344.12,26508,1.73,16582,0.3615,0,837,672,0.0
2025-01-03,META_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250103,ME98534,Instagram,awareness,GB,DEEPAL S07,19721,470,0.023832,7.54,0.32,148.69,12613,1.56,6695,0.3395,0,445,291,0.0
2025-01-03,META_GB_S07_AWR_ECO_CONSCIOUS_20250103,ME30736,Facebook,awareness,GB,DEEPAL S07,132250,2775,0.020983,6.33,0.3,837.45,81609,1.62,31460,0.2379,0,2206,1835,0.0
2025-01-03,META_GB_S07_AWR_FLEET_MANAGERS_20250103,ME72640,Instagram,awareness,GB,DEEPAL S07,152,1,0.006579,12.94,1.97,1.97,121,1.26,29,0.1908,0,0,0,0.0
2025-01-03,META_GB_S07_AWR_CONQUEST_TESLA_20250103,ME49837,Instagram,awareness,GB,DEEPAL S07,20960,303,0.014456,13.33,0.92,279.47,12939,1.62,6970,0.3325,0,260,219,0.0
2025-01-03,META_GB_S07_AWR_CONFIGURATOR_USERS_20250103,ME74809,Facebook,awareness,GB,DEEPAL S07,1365,21,0.015385,11.65,0.76,15.91,1059,1.29,396,0.2901,0,15,10,0.0
2025-01-03,META_GB_S07_AWR_FLEET_MANAGERS_20250103,ME40971,Instagram,awareness,GB,DEEPAL S07,1787,35,0.019586,11.23,0.57,20.07,1333,1.34,708,0.3962,0,32,24,0.0
2025-01-04,META_GB_S07_AWR_SITE_VISITORS_20250104,ME65850,Instagram,awareness,GB,DEEPAL S07,2257,44,0.019495,4.91,0.25,11.08,1337,1.69,439,0.1945,0,31,24,0.0
2025-01-04,META_GB_S07_AWR_CONQUEST_AUDI_20250104,ME46525,Instagram,awareness,GB,DEEPAL S07,741,9,0.012146,8.94,0.74,6.63,525,1.41,184,0.2483,0,7,5,0.0
2025-01-04,META_GB_S07_AWR_EV_INTENDERS_20250104,ME26881,Instagram,awareness,GB,DEEPAL S07,4422,40,0.009046,9.04,1.0,39.97,3227,1.37,986,0.223,0,37,23,0.0
2025-01-04,META_GB_S07_AWR_FLEET_MANAGERS_20250104,ME81712,Instagram,awareness,GB,DEEPAL S07,6438,51,0.007922,15.72,1.98,101.18,5468,1.18,2322,0.3607,0,46,37,0.0
2025-01-04,META_GB_S07_AWR_PREMIUM_AUTO_20250104,ME63159,Instagram,awareness,GB,DEEPAL S07,19161,384,0.020041,13.59,0.68,260.32,16103,1.19,7162,0.3738,0,350,212,0.0
2025-01-04,META_GB_S07_AWR_EV_INTENDERS_20250104,ME21730,Instagram,awareness,GB,DEEPAL S07,3030,31,0.010231,11.16,1.09,33.83,2176,1.39,1181,0.3898,0,22,13,0.0
2025-01-04,META_GB_S07_AWR_FLEET_MANAGERS_20250104,ME25907,Instagram,awareness,GB,DEEPAL S07,39381,791,0.020086,7.46,0.37,293.81,24920,1.58,14345,0.3643,0,650,552,0.0
2025-01-04,META_GB_S07_AWR_SITE_VISITORS_20250104,ME56361,Facebook,awareness,GB,DEEPAL S07,12826,278,0.021675,15.09,0.7,193.55,7822,1.64,3688,0.2875,0,195,144,0.0
2025-01-04,META_GB_S07_AWR_CONQUEST_TESLA_20250104,ME77686,Instagram,awareness,GB,DEEPAL S07,58498,793,0.013556,7.95,0.59,465.31,35755,1.64,9987,0.1707,0,558,393,0.0
2025-01-04,META_GB_S07_AWR_CONFIGURATOR_USERS_20250104,ME11069,Facebook,awareness,GB,DEEPAL S07,33657,459,0.013638,14.57,1.07,490.31,18690,1.8,9579,0.2846,0,421,276,0.0
2025-01-05,META_GB_S07_AWR_FLEET_MANAGERS_20250105,ME87243,Facebook,awareness,GB,DEEPAL S07,6386,59,0.009239,8.71,0.94,55.62,4331,1.47,2138,0.3348,0,44,33,0.0
2025-01-05,META_GB_S07_AWR_FLEET_MANAGERS_20250105,ME73366,Facebook,awareness,GB,DEEPAL S07,131860,2004,0.015198,4.2,0.28,553.34,85459,1.54,38937,0.2953,0,1589,1337,0.0
2025-01-05,META_GB_S07_AWR_CONQUEST_AUDI_20250105,ME59274,Instagram,awareness,GB,DEEPAL S07,5068,51,0.010063,14.58,1.45,73.91,3664,1.38,1707,0.3368,0,42,29,0.0
2025-01-05,META_GB_S07_AWR_ECO_CONSCIOUS_20250105,ME55452,Instagram,awareness,GB,DEEPAL S07,12656,273,0.021571,15.72,0.73,198.91,9410,1.34,3203,0.2531,0,247,169,0.0
2025-01-05,META_GB_S07_AWR_CONQUEST_AUDI_20250105,ME14200,Facebook,awareness,GB,DEEPAL S07,35117,873,0.02486,6.45,0.26,226.51,21293,1.65,9595,0.2732,0,738,473,0.0
2025-01-05,META_GB_S07_AWR_SITE_VISITORS_20250105,ME53036,Facebook,awareness,GB,DEEPAL S07,20508,398,0.019407,11.66,0.6,239.07,16676,1.23,6118,0.2983,0,374,246,0.0
2025-01-05,META_GB_S07_AWR_TECH_ENTHUSIASTS_20250105,ME52991,Facebook,awareness,GB,DEEPAL S07,9006,216,0.023984,9.09,0.38,81.91,6616,1.36,2474,0.2747,0,204,166,0.0
2025-01-05,META_GB_S07_AWR_YOUNG_PROFESSIONALS_20250105,ME30459,Facebook,awareness,GB,DEEPAL S07,9334,197,0.021106,14.84,0.7,138.55,6133,1.52,3488,0.3737,0,180,124,0.0
2025-01-05,META_GB_S07_AWR_ENGAGED_VIEWERS_20250105,ME66261,Facebook,awareness,GB,DEEPAL S07,6579,115,0.01748,10.11,0.58,66.53,4113,1.6,1384,0.2104,0,88,71,0.0
2025-01-05,META_GB_S07_AWR_CONQUEST_TESLA_20250105,ME37585,Facebook,awareness,GB,DEEPAL S07,33388,514,0.015395,4.99,0.32,166.51,19591,1.7,11624,0.3481,0,421,285,0.0
2025-01-06,META_GB_S07_AWR_PREMIUM_AUTO_20250106,ME39764,Facebook,awareness,GB,DEEPAL S07,3100,45,0.014516,13.31,0.92,41.28,2117,1.46,862,0.2781,0,42,33,0.0
2025-01-06,META_GB_S07_AWR_ENGAGED_VIEWERS_20250106,ME90927,Instagram,awareness,GB,DEEPAL S07,2300,53,0.023043,13.94,0.61,32.07,1554,1.48,734,0.3191,0,49,39,0.0
2025-01-06,META_GB_S07_AWR_FAMILY_BUYERS_20250106,ME31837,Facebook,awareness,GB,DEEPAL S07,23525,323,0.01373,14.18,1.03,333.48,17559,1.34,8449,0.3591,0,259,211,0.0
2025-01-06,META_GB_S07_AWR_EV_INTENDERS_20250106,ME66364,Instagram,awareness,GB,DEEPAL S07,16057,310,0.019306,10.84,0.56,174.1,10338,1.55,3184,0.1983,0,265,223,0.0
2025-01-06,META_GB_S07_AWR_CONQUEST_TESLA_20250106,ME63033,Facebook,awareness,GB,DEEPAL S07,19816,490,0.024727,5.28,0.21,104.54,12987,1.53,7510,0.379,0,371,237,0.0
2025-01-06,META_GB_S07_AWR_CONQUEST_TESLA_20250106,ME55934,Facebook,awareness,GB,DEEPAL S07,68922,955,0.013856,14.75,1.06,1016.86,53259,1.29,24889,0.3611,0,687,416,0.0
2025-01-06,META_GB_S07_AWR_CONFIGURATOR_USERS_20250106,ME76704,Instagram,awareness,GB,DEEPAL S07,1431,12,0.008386,8.95,1.07,12.81,1211,1.18,437,0.3054,0,10,6,0.0
2025-01-06,META_GB_S07_AWR_CONQUEST_TESLA_20250106,ME15323,Facebook,awareness,GB,DEEPAL S07,9690,128,0.013209,4.39,0.33,42.57,5557,1.74,2869,0.2961,0,100,82,0.0
2025-01-06,META_GB_S07_AWR_CONQUEST_BMW_20250106,ME80664,Facebook,awareness,GB,DEEPAL S07,7587,156,0.020561,14.82,0.72,112.42,4701,1.61,1385,0.1825,0,109,91,0.0
2025-01-06,META_GB_S07_AWR_CONQUEST_TESLA_20250106,ME51631,Instagram,awareness,GB,DEEPAL S07,65717,918,0.013969,11.06,0.79,726.78,43675,1.5,10486,0.1596,0,770,566,0.0
2025-01-07,META_GB_S07_AWR_ENGAGED_VIEWERS_20250107,ME18853,Instagram,awareness,GB,DEEPAL S07,65478,686,0.010477,5.86,0.56,383.47,54273,1.21,21454,0.3277,0,607,467,0.0
2025-01-07,META_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250107,ME94090,Facebook,awareness,GB,DEEPAL S07,10890,217,0.019927,14.39,0.72,156.76,8670,1.26,3500,0.3214,0,154,108,0.0
2025-01-07,META_GB_S07_AWR_PREMIUM_AUTO_20250107,ME40495,Facebook,awareness,GB,DEEPAL S07,88613,1825,0.020595,5.35,0.26,474.22,59493,1.49,31339,0.3537,0,1314,800,0.0
2025-01-07,META_GB_S07_AWR_TECH_ENTHUSIASTS_20250107,ME59299,Instagram,awareness,GB,DEEPAL S07,2366,54,0.022823,8.67,0.38,20.52,1544,1.53,730,0.3085,0,44,30,0.0
2025-01-07,META_GB_S07_AWR_FAMILY_BUYERS_20250107,ME83074,Facebook,awareness,GB,DEEPAL S07,12926,273,0.02112,11.06,0.52,142.9,8692,1.49,4639,0.3589,0,228,160,0.0
2025-01-07,META_GB_S07_AWR_PREMIUM_AUTO_20250107,ME39482,Facebook,awareness,GB,DEEPAL S07,18356,285,0.015526,12.09,0.78,221.85,12329,1.49,4033,0.2197,0,224,161,0.0
2025-01-07,META_GB_S07_AWR_EV_INTENDERS_20250107,ME81441,Instagram,awareness,GB,DEEPAL S07,9280,81,0.008728,8.54,0.98,79.21,7008,1.32,2106,0.2269,0,76,49,0.0
2025-01-07,META_GB_S07_AWR_EV_INTENDERS_20250107,ME64467,Instagram,awareness,GB,DEEPAL S07,13178,158,0.01199,9.9,0.83,130.46,9802,1.34,2174,0.165,0,129,77,0.0
2025-01-07,META_GB_S07_AWR_YOUNG_PROFESSIONALS_20250107,ME92632,Facebook,awareness,GB,DEEPAL S07,20156,266,0.013197,7.62,0.58,153.58,11901,1.69,3765,0.1868,0,224,187,0.0
