date,campaign_name,campaign_id,objective,market,model,impressions,clicks,ctr,cpm,spend,video_views,video_view_rate,avg_watch_time_seconds,shares,comments,likes,profile_visits,website_clicks
2025-01-01,TT_GB_S07_AWR_TESTIMONIAL_20250101,TI44350,awareness,GB,DEEPAL S07,6496,55,0.008467,8.96,58.23,4567,0.703,6.2,13,9,23,8,38
2025-01-01,TT_GB_S07_AWR_PRODUCT_FEATURES_20250101,TI29838,awareness,GB,DEEPAL S07,5520,81,0.014674,6.54,36.1,3314,0.6004,13.9,24,8,69,8,49
2025-01-01,TT_GB_S07_AWR_HERO_LAUNCH_20250101,TI12599,awareness,GB,DEEPAL S07,78674,610,0.007754,7.69,604.96,42159,0.5359,4.5,242,113,791,41,270
2025-01-01,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250101,TI31193,awareness,GB,DEEPAL S07,24745,299,0.012083,7.64,188.95,10700,0.4324,13.7,14,20,196,52,139
2025-01-01,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250101,TI42998,awareness,GB,DEEPAL S07,15916,275,0.017278,7.13,113.55,8744,0.5494,8.1,38,7,162,19,152
2025-01-02,TT_GB_S07_AWR_TESTIMONIAL_20250102,TI79262,awareness,GB,DEEPAL S07,80226,538,0.006706,5.39,432.05,41598,0.5185,14.9,210,56,675,49,190
2025-01-02,TT_GB_S07_AWR_PRICE_REVEAL_20250102,TI34153,awareness,GB,DEEPAL S07,25168,306,0.012158,8.22,207.0,18427,0.7322,8.0,65,14,374,43,175
2025-01-02,TT_GB_S07_AWR_COMPARISON_20250102,TI92322,awareness,GB,DEEPAL S07,15144,77,0.005085,6.31,95.62,8849,0.5843,8.7,69,21,142,8,32
2025-01-02,TT_GB_S07_AWR_LIFESTYLE_20250102,TI92520,awareness,GB,DEEPAL S07,35158,461,0.013112,9.51,334.32,19584,0.557,11.2,74,28,317,31,222
2025-01-02,TT_GB_S07_AWR_PRICE_REVEAL_20250102,TI15913,awareness,GB,DEEPAL S07,9185,159,0.017311,4.85,44.56,6063,0.6601,8.6,22,5,71,11,83
2025-01-03,TT_GB_S07_AWR_DEALER_LOCATOR_20250103,TI90358,awareness,GB,DEEPAL S07,104826,1119,0.010675,5.79,607.14,52637,0.5021,14.3,182,37,968,97,726
2025-01-03,TT_GB_S07_AWR_RESERVATION_CTA_20250103,TI71668,awareness,GB,DEEPAL S07,4206,61,0.014503,9.1,38.29,1895,0.4505,12.2,14,2,17,10,40
2025-01-03,TT_GB_S07_AWR_TESTIMONIAL_20250103,TI79891,awareness,GB,DEEPAL S07,5470,31,0.005667,9.04,49.48,2449,0.4477,6.3,19,3,21,2,9
2025-01-03,TT_GB_S07_AWR_RESERVATION_CTA_20250103,TI60596,awareness,GB,DEEPAL S07,33591,217,0.00646,4.65,156.17,14398,0.4286,9.2,79,38,276,31,90
2025-01-03,TT_GB_S07_AWR_PRODUCT_FEATURES_20250103,TI43254,awareness,GB,DEEPAL S07,7654,135,0.017638,6.43,49.26,3386,0.4424,14.0,14,3,64,10,91
2025-01-04,TT_GB_S07_AWR_DEALER_LOCATOR_20250104,TI36078,awareness,GB,DEEPAL S07,788,5,0.006345,7.23,5.71,523,0.6637,3.6,3,0,11,0,2
2025-01-04,TT_GB_S07_AWR_AWARD_WINNER_20250104,TI67187,awareness,GB,DEEPAL S07,28248,335,0.011859,4.4,124.41,11900,0.4213,5.9,78,28,254,61,181
2025-01-04,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250104,TI98905,awareness,GB,DEEPAL S07,39998,433,0.010826,4.47,178.72,19251,0.4813,12.5,59,42,417,29,217
2025-01-04,TT_GB_S07_AWR_DEALER_LOCATOR_20250104,TI48474,awareness,GB,DEEPAL S07,40068,251,0.006264,9.41,377.07,21887,0.5462,3.5,91,37,539,16,132
2025-01-04,TT_GB_S07_AWR_PRICE_REVEAL_20250104,TI63238,awareness,GB,DEEPAL S07,13311,82,0.00616,7.51,99.94,5875,0.4414,14.6,22,13,72,14,45
2025-01-05,TT_GB_S07_AWR_DEALER_LOCATOR_20250105,TI19829,awareness,GB,DEEPAL S07,54852,824,0.015022,9.22,505.67,30767,0.5609,3.5,103,61,162,63,439
2025-01-05,TT_GB_S07_AWR_RESERVATION_CTA_20250105,TI97598,awareness,GB,DEEPAL S07,24603,237,0.009633,6.78,166.76,17683,0.7187,9.2,118,51,237,32,85
2025-01-05,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250105,TI83889,awareness,GB,DEEPAL S07,7058,102,0.014452,9.58,67.65,4607,0.6527,8.1,36,4,95,12,53
2025-01-05,TT_GB_S07_AWR_RESERVATION_CTA_20250105,TI11672,awareness,GB,DEEPAL S07,15007,152,0.010129,7.04,105.62,8855,0.5901,7.8,17,10,143,16,50
2025-01-05,TT_GB_S07_AWR_TESTIMONIAL_20250105,TI83716,awareness,GB,DEEPAL S07,5787,35,0.006048,7.63,44.16,3067,0.53,8.5,24,5,51,4,24
2025-01-06,TT_GB_S07_AWR_PRODUCT_FEATURES_20250106,TI79831,awareness,GB,DEEPAL S07,16011,195,0.012179,4.77,76.35,7665,0.4787,8.0,15,13,141,29,90
2025-01-06,TT_GB_S07_AWR_DEALER_LOCATOR_20250106,TI80643,awareness,GB,DEEPAL S07,49095,836,0.017028,6.68,327.78,21138,0.4306,14.9,109,32,527,124,458
2025-01-06,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250106,TI95092,awareness,GB,DEEPAL S07,36336,650,0.017889,5.36,194.85,18682,0.5141,9.1,35,48,156,73,410
2025-01-06,TT_GB_S07_AWR_COMPARISON_20250106,TI28819,awareness,GB,DEEPAL S07,73364,1011,0.013781,5.16,378.75,53515,0.7294,12.1,89,111,749,123,549
2025-01-06,TT_GB_S07_AWR_COMPARISON_20250106,TI36768,awareness,GB,DEEPAL S07,1261,13,0.010309,4.68,5.91,564,0.4473,13.5,0,1,6,2,5
