sale_id,date,model,trim,dealer_id,market,price_gbp,finance_type,lead_id,source
SL000001,2025-09-01,DEEPAL S07,Intelligence,DLR012,GB,35990,lease,,dealer_walkin
SL000002,2025-09-01,DEEPAL S07,Design,DLR050,GB,31990,PCP,,website
SL000003,2025-09-01,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,website
SL000004,2025-09-01,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,referral
SL000005,2025-09-01,DEEPAL S07,Design,DLR041,GB,31990,cash,,website
SL000006,2025-09-01,DEEPAL S07,Design,DLR012,FR,31990,PCP,,event
SL000007,2025-09-01,DEEPAL S07,Intelligence,DLR004,GB,35990,lease,LD004743,test_drive
SL000008,2025-09-01,DEEPAL S07,Pure,DLR041,GB,27990,lease,,referral
SL000009,2025-09-01,DEEPAL S07,Pure,DLR012,GB,27990,cash,,event
SL000010,2025-09-01,DEEPAL S07,Design,DLR012,DE,31990,PCP,,event
SL000011,2025-09-01,DEEPAL S07,Pure,DLR019,FR,27990,lease,,dealer_walkin
SL000012,2025-09-01,AVATR 12,Long Range,DLR012,DE,54990,PCP,,dealer_walkin
SL000013,2025-09-01,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,dealer_walkin
SL000014,2025-09-01,DEEPAL S07,Design,DLR050,DE,31990,PCP,,event
SL000015,2025-09-01,DEEPAL S07,Design,DLR019,DE,31990,cash,,referral
SL000016,2025-09-01,DEEPAL S07,Intelligence,DLR002,GB,35990,PCP,,website
SL000017,2025-09-01,DEEPAL S07,Pure,DLR050,FR,27990,PCP,,referral
SL000018,2025-09-01,AVATR 12,Performance,DLR041,DE,64990,PCP,,referral
SL000019,2025-09-01,DEEPAL S07,Pure,DLR012,GB,27990,HP,,event
SL000020,2025-09-01,DEEPAL S07,Design,DLR019,GB,31990,HP,,dealer_walkin
SL000021,2025-09-01,AVATR 12,Performance,DLR019,GB,64990,PCP,,dealer_walkin
SL000022,2025-09-01,DEEPAL S07,Pure,DLR050,GB,27990,lease,,website
SL000023,2025-09-01,AVATR 12,Performance,DLR050,FR,64990,PCP,,event
SL000024,2025-09-01,AVATR 12,Performance,DLR002,GB,64990,PCP,,event
SL000025,2025-09-01,DEEPAL S07,Intelligence,DLR041,GB,35990,HP,,website
SL000026,2025-09-01,DEEPAL S07,Pure,DLR002,DE,27990,PCP,,website
SL000027,2025-09-01,DEEPAL S07,Pure,DLR050,GB,27990,cash,,referral
SL000028,2025-09-01,DEEPAL S07,Intelligence,DLR019,GB,35990,HP,,event
SL000029,2025-09-01,DEEPAL S07,Pure,DLR002,GB,27990,PCP,,website
SL000030,2025-09-01,DEEPAL S07,Design,DLR002,GB,31990,PCP,,dealer_walkin
SL000031,2025-09-01,AVATR 12,Performance,DLR012,DE,64990,cash,,referral
SL000032,2025-09-01,DEEPAL S07,Pure,DLR041,FR,27990,lease,,event
SL000033,2025-09-01,DEEPAL S07,Pure,DLR019,GB,27990,lease,,dealer_walkin
SL000034,2025-09-01,DEEPAL S07,Pure,DLR012,FR,27990,lease,,event
SL000035,2025-09-01,DEEPAL S07,Pure,DLR001,GB,27990,HP,LD001682,test_drive
SL000036,2025-09-01,DEEPAL S07,Pure,DLR012,DE,27990,PCP,,dealer_walkin
SL000037,2025-09-01,DEEPAL S07,Intelligence,DLR041,GB,35990,PCP,,dealer_walkin
SL000038,2025-09-01,DEEPAL S07,Pure,DLR050,DE,27990,HP,,referral
SL000039,2025-09-01,AVATR 12,Long Range,DLR012,GB,54990,PCP,,event
SL000040,2025-09-01,DEEPAL S07,Intelligence,DLR012,FR,35990,PCP,,dealer_walkin
SL000041,2025-09-01,DEEPAL S07,Pure,DLR002,GB,27990,HP,,event
SL000042,2025-09-01,DEEPAL S07,Pure,DLR050,GB,27990,PCP,,website
SL000043,2025-09-01,AVATR 12,Performance,DLR050,GB,64990,lease,,website
SL000044,2025-09-01,DEEPAL S07,Design,DLR041,DE,31990,lease,,dealer_walkin
SL000045,2025-09-01,DEEPAL S07,Pure,DLR002,GB,27990,PCP,,referral
SL000046,2025-09-01,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,event
SL000047,2025-09-01,AVATR 12,Performance,DLR041,DE,64990,PCP,,dealer_walkin
SL000048,2025-09-01,DEEPAL S07,Pure,DLR012,DE,27990,HP,,referral
SL000049,2025-09-01,DEEPAL S07,Design,DLR002,GB,31990,PCP,,website
SL000050,2025-09-01,AVATR 12,Performance,DLR050,DE,64990,HP,,referral
SL000051,2025-09-01,DEEPAL S07,Pure,DLR050,DE,27990,HP,,website
SL000052,2025-09-01,AVATR 12,Performance,DLR002,GB,64990,lease,,event
SL000053,2025-09-01,DEEPAL S07,Pure,DLR012,DE,27990,lease,,dealer_walkin
SL000054,2025-09-02,DEEPAL S07,Design,DLR012,GB,31990,cash,,dealer_walkin
SL000055,2025-09-02,AVATR 12,Long Range,DLR002,GB,54990,HP,,dealer_walkin
SL000056,2025-09-02,DEEPAL S07,Design,DLR012,GB,31990,lease,,dealer_walkin
SL000057,2025-09-02,DEEPAL S07,Pure,DLR002,GB,27990,HP,,event
SL000058,2025-09-02,DEEPAL S07,Pure,DLR012,GB,27990,HP,,dealer_walkin
SL000059,2025-09-02,DEEPAL S07,Design,DLR012,FR,31990,PCP,,referral
SL000060,2025-09-02,DEEPAL S07,Design,DLR012,GB,31990,PCP,,dealer_walkin
SL000061,2025-09-02,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,dealer_walkin
SL000062,2025-09-02,DEEPAL S07,Design,DLR050,FR,31990,HP,,website
SL000063,2025-09-02,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,event
SL000064,2025-09-02,DEEPAL S07,Pure,DLR019,GB,27990,cash,,dealer_walkin
SL000065,2025-09-02,DEEPAL S07,Intelligence,DLR019,FR,35990,HP,,referral
