date,channel,device,sessions,users,new_users,bounce_rate,avg_session_duration_sec,pages_per_session,configurator_starts
2025-01-01,referral,mobile,384,288,224,0.432,121.6,3.11,14
2025-01-01,referral,tablet,73,58,32,0.5682,127.2,4.46,2
2025-01-01,email,mobile,374,354,169,0.3504,98.0,4.92,15
2025-01-01,email,tablet,57,49,28,0.3604,64.7,4.31,1
2025-01-01,social_organic,mobile,638,604,258,0.6417,39.9,4.96,15
2025-01-01,social_organic,tablet,95,75,51,0.5078,39.8,4.03,4
2025-01-01,paid_search,mobile,1523,1166,688,0.6069,74.4,3.88,64
2025-01-01,paid_search,tablet,284,263,159,0.4481,82.3,2.44,6
2025-01-01,social_paid,mobile,1105,942,450,0.6029,119.3,2.01,43
2025-01-01,social_paid,tablet,203,188,94,0.6642,98.0,4.15,5
2025-01-02,referral,desktop,151,128,91,0.3583,150.6,3.54,6
2025-01-02,referral,tablet,43,37,25,0.4045,159.7,3.67,1
2025-01-02,referral,mobile,222,201,145,0.3055,164.1,2.29,8
2025-01-02,direct,desktop,400,372,194,0.4348,162.2,3.26,13
2025-01-02,direct,tablet,124,105,80,0.4317,183.7,2.16,3
2025-01-02,direct,mobile,650,547,445,0.5998,122.3,4.76,28
2025-01-02,social_organic,desktop,226,208,141,0.3581,49.1,1.89,8
2025-01-02,social_organic,tablet,74,66,35,0.5185,32.8,3.04,1
2025-01-02,social_organic,mobile,340,268,201,0.6777,78.6,3.84,10
2025-01-02,display,desktop,177,136,116,0.5966,224.8,2.3,6
2025-01-02,display,tablet,52,42,26,0.5605,224.3,2.64,2
2025-01-02,display,mobile,277,219,184,0.5027,86.5,2.44,9
2025-01-02,email,desktop,126,102,75,0.5193,169.8,4.04,3
2025-01-02,email,tablet,29,23,19,0.465,281.4,4.87,1
2025-01-02,email,mobile,195,148,96,0.6205,103.5,4.9,3
2025-01-02,organic_search,desktop,641,592,315,0.4982,182.2,1.7,25
2025-01-02,organic_search,tablet,192,166,128,0.4421,294.5,1.67,9
2025-01-02,organic_search,mobile,1110,1042,605,0.6718,127.3,3.05,31
2025-01-03,display,desktop,293,242,137,0.5865,232.3,4.37,9
2025-01-03,display,tablet,93,88,54,0.3292,94.5,2.8,3
2025-01-03,referral,desktop,268,208,149,0.6983,222.9,3.78,7
2025-01-03,referral,tablet,72,55,41,0.4966,233.7,4.98,2
2025-01-03,organic_search,desktop,1267,969,791,0.3168,107.4,4.41,62
2025-01-03,organic_search,tablet,343,270,164,0.6757,197.6,4.5,15
2025-01-03,direct,desktop,773,596,457,0.6369,219.6,3.71,25
2025-01-03,direct,tablet,206,170,122,0.3444,242.0,3.41,4
2025-01-03,email,desktop,237,201,123,0.3654,209.4,3.36,11
2025-01-03,email,tablet,92,72,52,0.3356,285.2,4.03,3
2025-01-03,social_paid,desktop,777,639,502,0.3238,59.9,1.97,21
2025-01-03,social_paid,tablet,223,184,95,0.5691,102.2,2.83,8
2025-01-04,display,tablet,79,65,35,0.6665,113.8,1.65,3
2025-01-04,display,mobile,506,424,306,0.3315,255.1,2.51,14
2025-01-04,referral,tablet,55,42,22,0.4165,89.2,2.99,1
2025-01-04,referral,mobile,337,278,184,0.5559,83.6,4.35,8
2025-01-04,social_organic,tablet,97,79,58,0.6957,39.6,4.69,2
2025-01-04,social_organic,mobile,494,427,271,0.3979,57.4,1.71,17
2025-01-04,organic_search,tablet,318,274,177,0.4639,139.6,1.9,10
2025-01-04,organic_search,mobile,1613,1300,756,0.6853,282.0,1.65,41
2025-01-04,social_paid,tablet,170,160,68,0.365,117.9,4.52,4
2025-01-04,social_paid,mobile,965,833,513,0.4763,42.2,2.94,46
2025-01-04,direct,tablet,178,135,77,0.6978,279.5,3.98,6
2025-01-04,direct,mobile,1006,845,530,0.6877,297.8,2.0,43
2025-01-05,direct,mobile,1005,764,645,0.421,212.5,3.28,44
2025-01-05,direct,tablet,172,130,104,0.5923,95.7,3.76,5
2025-01-05,social_organic,mobile,518,421,321,0.3133,55.3,2.19,21
2025-01-05,social_organic,tablet,83,71,38,0.3655,47.3,2.62,3
2025-01-05,organic_search,mobile,1672,1314,1032,0.3018,79.3,4.46,73
2025-01-05,organic_search,tablet,336,286,200,0.5857,281.2,3.51,11
2025-01-05,referral,mobile,315,273,189,0.3334,192.8,1.8,12
2025-01-05,referral,tablet,66,51,29,0.3678,194.4,1.52,1
2025-01-05,email,mobile,302,275,199,0.6294,108.5,1.82,12
2025-01-05,email,tablet,58,47,34,0.459,78.6,3.75,1
2025-01-05,paid_search,mobile,1383,1153,593,0.4951,275.8,4.61,52
2025-01-05,paid_search,tablet,244,212,135,0.3485,229.8,3.29,11
2025-01-06,paid_search,mobile,397,357,252,0.6548,118.8,1.54,18
2025-01-06,paid_search,tablet,66,61,28,0.3539,97.1,3.16,1
2025-01-06,paid_search,desktop,228,204,137,0.5078,230.6,4.23,8
2025-01-06,email,mobile,92,85,39,0.6232,288.9,3.59,3
2025-01-06,email,tablet,14,12,9,0.5757,255.0,3.58,0
2025-01-06,email,desktop,62,50,30,0.4415,145.8,1.6,2
2025-01-06,display,mobile,153,135,99,0.3473,163.0,4.23,6
2025-01-06,display,tablet,23,21,12,0.688,257.5,2.53,1
2025-01-06,display,desktop,73,68,39,0.3468,190.4,4.75,3
2025-01-06,social_paid,mobile,310,293,201,0.4184,83.6,3.0,8
2025-01-06,social_paid,tablet,55,44,23,0.6115,85.4,2.47,2
2025-01-06,social_paid,desktop,176,138,98,0.5558,54.7,4.35,8
2025-01-06,organic_search,mobile,459,415,249,0.6248,293.5,4.39,11
2025-01-06,organic_search,tablet,105,99,69,0.512,199.2,4.75,2
2025-01-06,organic_search,desktop,292,255,135,0.5333,150.0,3.71,12
2025-01-07,display,mobile,263,244,166,0.4327,279.2,3.6,6
