date,campaign_name,campaign_id,format,market,model,impressions,views,view_rate,clicks,ctr,cpv,cpm,spend,video_played_25,video_played_50,video_played_75,video_played_100,earned_views,earned_subscribers
2025-01-01,YT_GB_S07_TRV_RESERVATION_CTA_20250101,YO35330,TrueView In-Stream,GB,DEEPAL S07,32795,16904,0.5155,148,0.004513,0.0266,13.72,449.81,14858,11190,8636,5902,182,1
2025-01-01,YT_GB_S07_BMP_HERO_LAUNCH_20250101,YO53693,Bumper 6s,GB,DEEPAL S07,49613,15256,0.3075,236,0.004757,0.031,9.55,473.65,12978,10590,7965,4822,641,5
2025-01-01,YT_GB_S07_TRV_TESTIMONIAL_20250101,YO79190,TrueView In-Stream,GB,DEEPAL S07,62724,31619,0.5041,527,0.008402,0.0285,14.34,899.58,28526,21916,15364,10897,1400,2
2025-01-01,YT_GB_S07_BMP_CONFIGURATOR_CTA_20250101,YO36695,Bumper 6s,GB,DEEPAL S07,59378,15350,0.2585,601,0.010122,0.0467,12.08,717.33,14447,11486,9133,5877,332,1
2025-01-01,YT_GB_S07_TRV_HERO_LAUNCH_20250101,YO35769,TrueView In-Stream,GB,DEEPAL S07,11970,6367,0.5319,55,0.004595,0.0266,14.15,169.32,5918,4670,3557,2337,329,2
2025-01-01,YT_GB_S07_BMP_PRICE_REVEAL_20250101,YO99645,Bumper 6s,GB,DEEPAL S07,6465,1916,0.2964,29,0.004486,0.0461,13.68,88.41,1685,1272,983,619,92,0
2025-01-02,YT_GB_S07_TRV_AWARD_WINNER_20250102,YO99696,TrueView In-Stream,GB,DEEPAL S07,388,115,0.2976,2,0.005155,0.0378,11.2,4.35,102,72,53,31,1,0
2025-01-02,YT_GB_S07_BMP_PRODUCT_FEATURES_20250102,YO24669,Bumper 6s,GB,DEEPAL S07,32442,13179,0.4062,367,0.011312,0.0264,10.73,348.0,11531,8758,6632,4625,148,0
2025-01-02,YT_GB_S07_TRV_PRICE_REVEAL_20250102,YO25166,TrueView In-Stream,GB,DEEPAL S07,89497,31691,0.3541,429,0.004793,0.0265,9.37,838.62,29618,20955,16473,10463,1866,5
2025-01-02,YT_GB_S07_BMP_HERO_LAUNCH_20250102,YO99336,Bumper 6s,GB,DEEPAL S07,44387,23848,0.5373,362,0.008156,0.019,10.18,452.04,20874,15711,10783,7028,876,4
2025-01-02,YT_GB_S07_TRV_CONFIGURATOR_CTA_20250102,YO94576,TrueView In-Stream,GB,DEEPAL S07,130195,53957,0.4144,1537,0.011805,0.019,7.87,1024.1,49326,41181,29436,20424,924,3
2025-01-02,YT_GB_S07_BMP_HERO_LAUNCH_20250102,YO92483,Bumper 6s,GB,DEEPAL S07,8691,4538,0.5222,103,0.011851,0.0153,7.98,69.39,4009,2914,2170,1305,132,1
2025-01-03,YT_GB_S07_TRV_COMPARISON_20250103,YO83893,TrueView In-Stream,GB,DEEPAL S07,8202,2118,0.2583,37,0.004511,0.0301,7.78,63.78,2001,1543,1186,703,44,0
2025-01-03,YT_GB_S07_BMP_AWARD_WINNER_20250103,YO48313,Bumper 6s,GB,DEEPAL S07,43533,21369,0.4909,486,0.011164,0.023,11.27,490.78,19599,14302,11314,8085,406,3
2025-01-03,YT_GB_S07_TRV_AWARD_WINNER_20250103,YO16171,TrueView In-Stream,GB,DEEPAL S07,1601,662,0.4141,15,0.009369,0.0341,14.08,22.55,616,449,317,217,10,0
2025-01-03,YT_GB_S07_BMP_CONFIGURATOR_CTA_20250103,YO52690,Bumper 6s,GB,DEEPAL S07,100,50,0.5051,1,0.01,0.0151,7.47,0.75,42,31,22,12,0,0
2025-01-03,YT_GB_S07_TRV_TESTIMONIAL_20250103,YO27454,TrueView In-Stream,GB,DEEPAL S07,68430,21813,0.3188,678,0.009908,0.0259,8.27,565.75,19137,14710,10940,8164,364,3
2025-01-03,YT_GB_S07_BMP_AWARD_WINNER_20250103,YO79556,Bumper 6s,GB,DEEPAL S07,83759,24981,0.2983,889,0.010614,0.038,11.34,950.2,21505,15283,12206,8988,1274,9
2025-01-04,YT_GB_S07_TRV_AWARD_WINNER_20250104,YO38797,TrueView In-Stream,GB,DEEPAL S07,11324,6212,0.5486,106,0.009361,0.0236,12.93,146.42,5504,4304,3379,2014,368,1
2025-01-04,YT_GB_S07_BMP_PRICE_REVEAL_20250104,YO39082,Bumper 6s,GB,DEEPAL S07,9420,4437,0.4711,77,0.008174,0.0186,8.75,82.39,4057,3289,2313,1635,187,0
2025-01-04,YT_GB_S07_TRV_CONFIGURATOR_CTA_20250104,YO54548,TrueView In-Stream,GB,DEEPAL S07,98862,38492,0.3894,1124,0.011369,0.0167,6.48,640.91,35674,27644,19565,13827,1875,15
2025-01-04,YT_GB_S07_BMP_LIFESTYLE_20250104,YO50172,Bumper 6s,GB,DEEPAL S07,74244,24417,0.3289,540,0.007273,0.0257,8.45,627.56,21224,15681,12143,8765,880,2
2025-01-04,YT_GB_S07_TRV_LIFESTYLE_20250104,YO10386,TrueView In-Stream,GB,DEEPAL S07,1484,381,0.2572,15,0.010108,0.0579,14.86,22.07,351,264,185,113,8,0
2025-01-04,YT_GB_S07_BMP_AWARD_WINNER_20250104,YO61796,Bumper 6s,GB,DEEPAL S07,24056,7638,0.3175,154,0.006402,0.0349,11.09,266.69,7066,5800,4559,3043,285,2
2025-01-05,YT_GB_S07_TRV_RESERVATION_CTA_20250105,YO89613,TrueView In-Stream,GB,DEEPAL S07,24224,11287,0.466,131,0.005408,0.0203,9.44,228.72,9780,8061,5765,3465,655,5
2025-01-05,YT_GB_S07_BMP_DEALER_LOCATOR_20250105,YO10460,Bumper 6s,GB,DEEPAL S07,42768,18359,0.4293,442,0.010335,0.0236,10.14,433.61,15642,12547,9738,5882,383,0
2025-01-05,YT_GB_S07_TRV_LIFESTYLE_20250105,YO13292,TrueView In-Stream,GB,DEEPAL S07,14056,4202,0.299,125,0.008893,0.0475,14.19,199.49,3866,2967,2299,1281,169,1
2025-01-05,YT_GB_S07_BMP_PRODUCT_FEATURES_20250105,YO65759,Bumper 6s,GB,DEEPAL S07,14849,7855,0.529,141,0.009496,0.0183,9.7,144.08,6855,5744,4357,2435,123,0
2025-01-05,YT_GB_S07_TRV_PRODUCT_FEATURES_20250105,YO48256,TrueView In-Stream,GB,DEEPAL S07,45364,20793,0.4584,299,0.006591,0.0219,10.03,454.88,18846,13329,9524,5857,1128,9
2025-01-05,YT_GB_S07_BMP_LIFESTYLE_20250105,YO43535,Bumper 6s,GB,DEEPAL S07,79041,34054,0.4309,748,0.009463,0.0188,8.08,638.82,32056,24075,18478,10905,1154,6
2025-01-06,YT_GB_S07_TRV_HERO_LAUNCH_20250106,YO42639,TrueView In-Stream,GB,DEEPAL S07,60906,32010,0.5256,614,0.010081,0.0206,10.81,658.65,28381,22953,15215,10475,670,1
2025-01-06,YT_GB_S07_BMP_COMPARISON_20250106,YO23689,Bumper 6s,GB,DEEPAL S07,32936,13932,0.423,377,0.011446,0.0186,7.88,259.38,12215,8824,6431,4297,437,1
2025-01-06,YT_GB_S07_TRV_TESTIMONIAL_20250106,YO26282,TrueView In-Stream,GB,DEEPAL S07,36569,17275,0.4724,300,0.008204,0.0315,14.87,543.67,15223,10731,7873,4675,652,2
2025-01-06,YT_GB_S07_BMP_RESERVATION_CTA_20250106,YO27659,Bumper 6s,GB,DEEPAL S07,105998,52870,0.4988,767,0.007236,0.0197,9.84,1043.21,48332,37826,27613,20296,1802,14
2025-01-06,YT_GB_S07_TRV_PRICE_REVEAL_20250106,YO72260,TrueView In-Stream,GB,DEEPAL S07,1855,704,0.3796,21,0.011321,0.017,6.44,11.96,600,420,334,239,28,0
2025-01-06,YT_GB_S07_BMP_AWARD_WINNER_20250106,YO79027,Bumper 6s,GB,DEEPAL S07,5305,2774,0.523,42,0.007917,0.015,7.86,41.71,2467,2066,1474,1010,120,0
2025-01-07,YT_GB_S07_TRV_CONFIGURATOR_CTA_20250107,YO70314,TrueView In-Stream,GB,DEEPAL S07,11529,5258,0.4561,122,0.010582,0.0238,10.87,125.33,4851,3602,2572,1904,130,0
2025-01-07,YT_GB_S07_BMP_HERO_LAUNCH_20250107,YO16748,Bumper 6s,GB,DEEPAL S07,30758,8973,0.2918,317,0.010306,0.0219,6.38,196.2,8124,5687,4221,2456,148,0
2025-01-07,YT_GB_S07_TRV_COMPARISON_20250107,YO54562,TrueView In-Stream,GB,DEEPAL S07,43367,15171,0.3498,174,0.004012,0.0295,10.33,448.17,14294,11754,9349,6146,873,5
2025-01-07,YT_GB_S07_BMP_LIFESTYLE_20250107,YO21667,Bumper 6s,GB,DEEPAL S07,99047,40929,0.4132,948,0.009571,0.0165,6.83,676.36,35268,25450,19134,12292,1730,3
